Company,Valuation ($B),Date Joined,Year Joined,Month Joined,Day Joined,Industry,City,Country,Continent,Years to Unicorn,Year Founded,Funding ($B),Investor 1,Investor 2,Investor 3,Investor 4,Investors
Maven Clinic,1,8/17/21,2021,08,17,Health,New York,United States,North America,7,2014,0.202,Female Founders Fund, Oak HC/FT Partners, Sequoia Capital,,"Female Founders Fund, Oak HC/FT Partners, Sequoia Capital"
MediaMath,1,7/10/18,2018,07,10,Internet software & services,New York,United States,North America,11,2007,0.325,Silicon Valley Bank, QED Investors, European Founders Fund,,"Silicon Valley Bank, QED Investors, European Founders Fund"
Meero,1,6/18/19,2019,06,18,Artificial intelligence,Paris,France,Europe,3,2016,0.293,Aglae Ventures, Global Founders Capital, Alven Capital,,"Aglae Ventures, Global Founders Capital, Alven Capital"
Mensa Brands,1,11/16/21,2021,11,16,Other,Bengaluru,India,Asia,0,2021,0.218,Accel, Falcon Edge Capital, Norwest Venture Partners,,"Accel, Falcon Edge Capital, Norwest Venture Partners"
Mia.com,1,9/8/15,2015,09,08,E-commerce & direct-to-consumer,Beijing,China,Asia,4,2011,0.232,Sequoia Capital China, ZhenFund, K2 Ventures,,"Sequoia Capital China, ZhenFund, K2 Ventures"
Minio,1,1/26/22,2022,01,26,Data management & analytics,Palo Alto,United States,North America,8,2014,0.126,General Catalyst, Nexus Venture Partners, Dell Technologies Capital,,"General Catalyst, Nexus Venture Partners, Dell Technologies Capital"
Mobvoi,1,4/6/17,2017,04,06,Consumer & retail,Beijing,China,Asia,5,2012,0.252,Sequoia Capital China, SIG Asia Investments, ZhenFund,,"Sequoia Capital China, SIG Asia Investments, ZhenFund"
Moka,1,11/2/21,2021,11,02,Internet software & services,Beijing,China,Asia,6,2015,0.144,GGV Capital, GSR Ventures, FreesFund,,"GGV Capital, GSR Ventures, FreesFund"
Momenta,1,10/17/18,2018,10,17,Artificial intelligence,Beijing,China,Asia,2,2016,1,Sinovation Ventures, Tencent Holdings, Sequoia Capital China,,"Sinovation Ventures, Tencent Holdings, Sequoia Capital China"
Morning Consult,1,6/8/21,2021,06,08,Internet software & services,Washington DC,United States,North America,7,2014,0.091,Advance Venture Partners, Susquehanna Growth Equity, Lupa Systems,,"Advance Venture Partners, Susquehanna Growth Equity, Lupa Systems"
Movile,1,7/12/18,2018,07,12,Mobile & telecommunications,Sao Paulo,Brazil,South America,20,1998,0.588,Innova Capital - FIP, 3G Capital Management, Prosus Ventures,,"Innova Capital - FIP, 3G Capital Management, Prosus Ventures"
Mux,1,4/30/21,2021,04,30,Internet software & services,San Francisco,United States,North America,6,2015,0.174,Accel, Cobalt Capital, Andreessen Horowitz,,"Accel, Cobalt Capital, Andreessen Horowitz"
Nature's Fynd,1,7/19/21,2021,07,19,Other,Chicago,United States,North America,9,2012,0.463,Danone Manifesto Ventures, 1955 Capital, Breakthrough Energy Ventures,,"Danone Manifesto Ventures, 1955 Capital, Breakthrough Energy Ventures"
Newlink Group,1,7/10/20,2020,07,10,E-commerce & direct-to-consumer,Beijing,China,Asia,4,2016,0.655,JOY Capital, NIO Capital, Blueflame Capital,,"JOY Capital, NIO Capital, Blueflame Capital"
News Break,1,1/7/21,2021,01,07,Internet software & services,Mountain View,United States,North America,6,2015,0.151,IDG Capital, Francisco Partners, ZhenFund,,"IDG Capital, Francisco Partners, ZhenFund"
Newsela,1,2/25/21,2021,02,25,Internet software & services,New York,United States,North America,8,2013,0.172,Owl Ventures, Technology Crossover Ventures, Tao Capital Partners,,"Owl Ventures, Technology Crossover Ventures, Tao Capital Partners"
NIUM,1,7/13/21,2021,07,13,Fintech,,Singapore,Asia,7,2014,0.285,Vertex Ventures SE Asia, Global Founders Capital, Visa Ventures,,"Vertex Ventures SE Asia, Global Founders Capital, Visa Ventures"
NoBroker,1,11/23/21,2021,11,23,Internet software & services,Bengaluru,India,Asia,7,2014,0.424,General Atlantic, Elevation Capital, BEENEXT,,"General Atlantic, Elevation Capital, BEENEXT"
Noname Security,1,12/15/21,2021,12,15,Cybersecurity,Palo Alto,United States,North America,1,2020,0.22,Insight Partners, Lightspeed Venture Partners, CyberStarts,,"Insight Partners, Lightspeed Venture Partners, CyberStarts"
Numbrs,1,8/22/19,2019,08,22,Fintech,Zurich,Switzerland,Europe,20,1999,0.105,Investment Corporation of Dubai, Centralway,,,"Investment Corporation of Dubai, Centralway"
Omada Health,1,2/23/22,2022,02,23,Health,San Francisco,United States,North America,11,2011,0.449,U.S. Venture Partners, dRx Capital, Andreessen Horowitz,,"U.S. Venture Partners, dRx Capital, Andreessen Horowitz"
Omio,1,10/23/18,2018,10,23,Travel,Berlin,Germany,Europe,5,2013,0.396,Lakestar, Battery Ventures, New Enterprise Associates,,"Lakestar, Battery Ventures, New Enterprise Associates"
ONE,1,12/8/21,2021,12,08,Internet software & services,,Singapore,Asia,10,2011,0.515,Temasek, Guggenheim Investments, Qatar Investment Authority,,"Temasek, Guggenheim Investments, Qatar Investment Authority"
OpenWeb,1,11/9/21,2021,11,09,Internet software & services,New York,United States,North America,9,2012,0.223,Insight Partners, AltaIR Capital, Norma Investments,,"Insight Partners, AltaIR Capital, Norma Investments"
Orbbec Technology,1,5/21/18,2018,05,21,Hardware,Shenzhen,China,Asia,5,2013,0.2,R-Z Capital, Green Pine Capital Partners, SAIF Partners China,,"R-Z Capital, Green Pine Capital Partners, SAIF Partners China"
Orca Bio,1,6/17/20,2020,06,17,Health,Menlo Park,United States,North America,4,2016,0.192,Lightspeed Venture Partners, Data Collective, 8VC,,"Lightspeed Venture Partners, Data Collective, 8VC"
Orchard,1,9/9/21,2021,09,09,Fintech,New York,United States,North America,4,2017,0.252,Accomplice, Juxtapose, FirstMark Capital,,"Accomplice, Juxtapose, FirstMark Capital"
