Company,Valuation ($B),Date Joined,Year Joined,Month Joined,Day Joined,Industry,City,Country,Continent,Years to Unicorn,Year Founded,Funding ($B),Investor 1,Investor 2,Investor 3,Investor 4,Investors
Side,3,3/22/21,2021,03,22,Internet software & services,San Francisco,United States,North America,4,2017,0.314,Coatue Managemeny, Trinity Ventures, Matrix Partners,,"Coatue Managemeny, Trinity Ventures, Matrix Partners"
SiFive,3,3/16/22,2022,03,16,Hardware,San Mateo,United States,North America,7,2015,0.366,Sutter Hill Ventures, Osage University Partners, Spark Capital,,"Sutter Hill Ventures, Osage University Partners, Spark Capital"
Somatus,3,2/23/22,2022,02,23,Health,McLean,United States,North America,6,2016,0.465,The Blue Venture Fund, Flare Capital Partners, Longitude Capital,,"The Blue Venture Fund, Flare Capital Partners, Longitude Capital"
Sysdig,3,4/28/21,2021,04,28,Cybersecurity,San Francisco,United States,North America,8,2013,0.73,Accel, Bain Capital Ventures, Insight Partners,,"Accel, Bain Capital Ventures, Insight Partners"
Uniphore,3,2/16/22,2022,02,16,Artificial Intelligence,Palo Alto,United States,North America,14,2008,0.607,Chiratae Ventures, March Capital Partners, National Grid Partners,,"Chiratae Ventures, March Capital Partners, National Grid Partners"
Varo Bank,3,9/9/21,2021,09,09,Fintech,San Francisco,United States,North America,6,2015,0.987,Warburg Pincus, The Rise Fund, HarbourVest Partners,,"Warburg Pincus, The Rise Fund, HarbourVest Partners"
Vercel,3,6/23/21,2021,06,23,Internet software & services,San Francisco,United States,North America,6,2015,0.313,CRV, Accel, Google Ventures,,"CRV, Accel, Google Ventures"
Oura,3,4/5/22,2022,04,05,Health,Oulu,Finland,Europe,9,2013,0.148,Forerunner Ventures, Lifeline Ventures, MSD Capital,,"Forerunner Ventures, Lifeline Ventures, MSD Capital"
Unacademy,3,9/2/20,2020,09,02,Edtech,Bengaluru,India,Asia,5,2015,0.789,Blume Ventures, Nexus Venture Partners, Sequoia Capital India,,"Blume Ventures, Nexus Venture Partners, Sequoia Capital India"
Axonius,3,3/1/21,2021,03,01,Cybersecurity,New York,United States,North America,4,2017,0.395,Vertex Ventures Israel, Bessemer Venture Partners, Emerge,,"Vertex Ventures Israel, Bessemer Venture Partners, Emerge"
Clari,3,3/3/21,2021,03,03,Internet software & services,Sunnyvale,United States,North America,9,2012,0.496,Sequoia Capital, Bain Capital Ventures, enaya Capital,,"Sequoia Capital, Bain Capital Ventures, enaya Capital"
ManoMano,3,7/5/21,2021,07,05,E-commerce & direct-to-consumer,Paris,France,Europe,8,2013,0.706,General Atlantic, Piton Capital, Partech Partners,,"General Atlantic, Piton Capital, Partech Partners"
Pendo,3,10/17/19,2019,10,17,Internet software & services,Raleigh,United States,North America,6,2013,0.357,Contour Venture Partners, Battery Ventures, Core Capital Partners,,"Contour Venture Partners, Battery Ventures, Core Capital Partners"
Plume,3,2/23/21,2021,02,23,Internet software & services,Palo Alto,United States,North America,6,2015,0.722,Insight Partners, Jackson Square Ventures, Liberty Gloval Ventures,,"Insight Partners, Jackson Square Ventures, Liberty Gloval Ventures"
JumpCloud,3,9/13/21,2021,09,13,Data management & analytics,Louisville,United States,North America,9,2012,0.407,Foundry Group, General Atlantic, BlackRock,,"Foundry Group, General Atlantic, BlackRock"
Project44,3,6/1/21,2021,06,01,"Supply chain, logistics, & delivery",Chicago,United States,North America,7,2014,0.818,Emergence Capital Partners, 8VC, Chicago Ventures,,"Emergence Capital Partners, 8VC, Chicago Ventures"
Sourcegraph,3,7/13/21,2021,07,13,Internet software & services,San Francisco,United States,North America,8,2013,0.248,Redpoint Ventures, Goldcrest Capital, Insight Partners,,"Redpoint Ventures, Goldcrest Capital, Insight Partners"
OwnBackup,3,1/28/21,2021,01,28,Data management & analytics,Englewood Cliffs,United States,North America,6,2015,0.507,Insight Partners, Salesforce Ventures, Vertex Ventures,,"Insight Partners, Salesforce Ventures, Vertex Ventures"
Starburst,3,1/6/21,2021,01,06,Data management & analytics,Boston,United States,North America,22,1999,0.414,Index Ventures, Coatue Management, Andreessen Horowitz,,"Index Ventures, Coatue Management, Andreessen Horowitz"
Youxia Motors,3,4/2/18,2018,04,02,Auto & transportation,Shanghai,China,Asia,4,2014,1,China Environmental Protection Industry, China Fortune Ocean,,,"China Environmental Protection Industry, China Fortune Ocean"
Zetwerk,3,8/20/21,2021,08,20,Internet software & services,Bengaluru,India,Asia,3,2018,0.543,Sequoia Capital India, Kae Capital, Accel,,"Sequoia Capital India, Kae Capital, Accel"
Cars24,3,11/24/20,2020,11,24,E-commerce & direct-to-consumer,Gurgaon,India,Asia,5,2015,1,Moore Strategic Ventures, DST Global, Sequoia Capital India,,"Moore Strategic Ventures, DST Global, Sequoia Capital India"
Ethos,3,5/11/21,2021,05,11,Fintech,San Francisco,United States,North America,5,2016,0.407,Sequoia Capital, Google Ventures, Accel,,"Sequoia Capital, Google Ventures, Accel"
Komodo Health,3,5/22/20,2020,05,22,Health,San Francisco,United States,North America,6,2014,0.314,Andreessen Horowitz, IA Ventures, Felicis Ventures,,"Andreessen Horowitz, IA Ventures, Felicis Ventures"
Nextiva,3,9/14/21,2021,09,14,Internet software & services,Scottsdale,United States,North America,13,2008,0.2,Goldman Sachs Asset Management,,,,Goldman Sachs Asset Management
o9 Solutions,3,4/28/20,2020,04,28,Artificial intelligence,Dallas,United States,North America,11,2009,0.417,KKR,,,,KKR
Scopely,3,10/29/19,2019,10,29,Mobile & telecommunications,Culver City,United States,North America,8,2011,0.999,Greycroft, Sands Capital, Revolution Growth,,"Greycroft, Sands Capital, Revolution Growth"
Sila Nanotechnologies,3,4/16/19,2019,04,16,Other,Alameda,United States,North America,8,2011,0.88,Bessemer Venture Partners, Sutter Hill Ventures, Matrix Partners,,"Bessemer Venture Partners, Sutter Hill Ventures, Matrix Partners"
Via,3,3/30/20,2020,03,30,Auto & transportation,New York,United States,North America,8,2012,0.777,83North, RiverPark Ventures, Pitango Venture Capital,,"83North, RiverPark Ventures, Pitango Venture Capital"
Transmit Security,3,6/22/21,2021,06,22,Cybersecurity,Tel Aviv,Israel,Asia,7,2014,0.583,General Atlantic, Insight Partners, Vintage Investment Partners,,"General Atlantic, Insight Partners, Vintage Investment Partners"
BlockDaemon,3,9/21/21,2021,09,21,Fintech,Los Angeles,United States,North America,5,2016,0.398,BOLDstart Ventures, Lerer Hippeau, Kenetic Capital,,"BOLDstart Ventures, Lerer Hippeau, Kenetic Capital"
Convoy,3,9/21/18,2018,09,21,"Supply chain, logistics, & delivery",Seattle,United States,North America,3,2015,0.666,Greylock Partners, capitalG, Y Combinator,,"Greylock Partners, capitalG, Y Combinator"
Dream Games,3,6/30/21,2021,06,30,Mobile & telecommunications,Istanbul,Turkey,Europe,2,2019,0.468,Makers Fund, Index Ventures, Inova Ventures Participacees,,"Makers Fund, Index Ventures, Inova Ventures Participacees"
Illumio,3,4/14/15,2015,04,14,Cybersecurity,Sunnyvale,United States,North America,2,2013,0.558,Data Collective, Formation 8, General Catalyst Partners,,"Data Collective, Formation 8, General Catalyst Partners"
MasterClass,3,5/13/21,2021,05,13,Edtech,San Francisco,United States,North America,6,2015,0.461,Institutional Venture Partners, New Enterprise Associates, Javelin Venture Partners,,"Institutional Venture Partners, New Enterprise Associates, Javelin Venture Partners"
Graphcore,3,12/18/18,2018,12,18,Artificial intelligence,Bristol,United Kingdom,Europe,2,2016,0.682,Dell Technologies Capital, Pitango Venture Capital, Amadeus Capital Partners,,"Dell Technologies Capital, Pitango Venture Capital, Amadeus Capital Partners"
ApplyBoard,3,5/5/20,2020,05,05,Edtech,Kitchener,Canada,North America,5,2015,0.483,Artiman Ventures, Plug and Play Ventures, Anthos Capital,,"Artiman Ventures, Plug and Play Ventures, Anthos Capital"
Blockstream,3,8/24/21,2021,08,24,Fintech,Vancouver,Canada,North America,7,2014,0.299,AME Cloud Ventures, Future Perfect Ventures, Blockchain Capital,,"AME Cloud Ventures, Future Perfect Ventures, Blockchain Capital"
Cedar,3,3/9/21,2021,03,09,Fintech,New York,United States,North America,5,2016,0.326,Thrive Capital, Founders Fund, Cocnord Health Partners,,"Thrive Capital, Founders Fund, Cocnord Health Partners"
ContentSquare,3,5/25/21,2021,05,25,Internet software & services,Paris,France,Europe,9,2012,0.812,Highland Europe, Eurazeo, Canaan Partners,,"Highland Europe, Eurazeo, Canaan Partners"
Eruditus Executive Education,3,8/12/21,2021,08,12,Edtech,Mumbai,India,Asia,11,2010,0.591,Sequoia Capital India, Softbank, Bertelsmann India Investments,,"Sequoia Capital India, Softbank, Bertelsmann India Investments"
Innovaccer,3,2/19/21,2021,02,19,Health,San Francisco,United States,North America,7,2014,0.379,M12, WestBridge Capital, Lightspeed Venture Partners,,"M12, WestBridge Capital, Lightspeed Venture Partners"
Ironclad,3,1/18/22,2022,01,18,Internet software & services,Sacramento,United States,North America,8,2014,0.334,Accel, Sequoia Capital, Y Combinator,,"Accel, Sequoia Capital, Y Combinator"
Skims,3,4/9/21,2021,04,09,E-commerce & direct-to-consumer,Los Angeles,United States,North America,2,2019,0.399,Thrive Capital, Alliance Consumer Growth, Imaginary Ventures,,"Thrive Capital, Alliance Consumer Growth, Imaginary Ventures"
Thumbtack,3,9/29/15,2015,09,29,E-commerce & direct-to-consumer,San Francisco,United States,North America,7,2008,0.698,Tiger Global, Sequoia Capital, Google Capital,,"Tiger Global, Sequoia Capital, Google Capital"
Zipline,3,5/20/19,2019,05,20,"Supply chain, logistics, & delivery",South San Francisco,United States,North America,5,2014,0.483,Sequoia Capital, Baillie Gifford & Co., Google Ventures,,"Sequoia Capital, Baillie Gifford & Co., Google Ventures"
BharatPe,3,7/30/21,2021,07,30,Fintech,New Delhi,India,Asia,3,2018,0.6,Insight Partners, Sequoia Capital India, BEENEXT,,"Insight Partners, Sequoia Capital India, BEENEXT"
DriveWealth,3,8/20/21,2021,08,20,Fintech,Chatham,United States,North America,9,2012,0.551,Point72 Ventures, Route 66 Ventures, Accel,,"Point72 Ventures, Route 66 Ventures, Accel"
Flink Food,3,12/1/21,2021,12,01,E-commerce & direct-to-consumer,Berlin,Germany,Europe,0,2021,1,Mubadala Capital, Bond, Prosus Ventures,,"Mubadala Capital, Bond, Prosus Ventures"
PsiQuantum,3,7/27/21,2021,07,27,Hardware,Palo Alto,United States,North America,5,2016,0.665,Playground Global, M12, BlackRock,,"Playground Global, M12, BlackRock"
SpotOn,3,5/26/21,2021,05,26,Fintech,San Francisco,United States,North America,4,2017,0.628,Dragoneer Investment Group, DST Global, Franklin Templeton,,"Dragoneer Investment Group, DST Global, Franklin Templeton"
Gorillas,3,3/25/21,2021,03,25,E-commerce & direct-to-consumer,Berlin,Germany,Europe,1,2020,1,Coatue Management, Atlantic Food Labs, DST Global,,"Coatue Management, Atlantic Food Labs, DST Global"
HighRadius,3,1/7/20,2020,01,07,Fintech,Houston,United States,North America,14,2006,0.475,Susquehanna Growth Equity, Citi Ventures, ICONIQ Capital,,"Susquehanna Growth Equity, Citi Ventures, ICONIQ Capital"
Loft,3,1/3/20,2020,01,03,E-commerce & direct-to-consumer,Sao Paulo,Brazil,South America,2,2018,0.788,Monashees+, Andreessen Horowitz, QED Investors,,"Monashees+, Andreessen Horowitz, QED Investors"
Nuvemshop,3,8/17/21,2021,08,17,E-commerce & direct-to-consumer,Sao Paulo,Brazil,South America,10,2011,0.628,Kaszek Ventures, Qualcomm Ventures, Accel,,"Kaszek Ventures, Qualcomm Ventures, Accel"
Udaan,3,9/4/18,2018,09,04,"Supply chain, logistics, & delivery",Bengaluru,India,Asia,2,2016,1,DST Global, Lightspeed Venture Partners, Microsoft ScaleUp,,"DST Global, Lightspeed Venture Partners, Microsoft ScaleUp"
Workrise,3,9/30/19,2019,09,30,Internet software & services,Austin,United States,North America,5,2014,0.722,Founders Fund, Quantum Energy Partners, Bedrock Capital,,"Founders Fund, Quantum Energy Partners, Bedrock Capital"
ActiveCampaign,3,4/21/21,2021,04,21,Internet software & services,Chicago,United States,North America,18,2003,0.36,Silversmith Capital Partners, Susquehanna Growth Equity, Tiger Global Management,,"Silversmith Capital Partners, Susquehanna Growth Equity, Tiger Global Management"
Age of Learning,3,5/3/16,2016,05,03,Edtech,Glendale,United States,North America,9,2007,0.5,Iconiq Capital,,,,Iconiq Capital
Amber Group,3,6/21/21,2021,06,21,Fintech,,Hong Kong,Asia,6,2015,0.328,Tiger Global Management, Tiger Brokers, DCM Ventures,,"Tiger Global Management, Tiger Brokers, DCM Ventures"
Anchorage Digital,3,12/15/21,2021,12,15,Fintech,San Francisco,United States,North America,4,2017,0.487,Andreessen Horowitz, Blockchain Capital, Lux Capital,,"Andreessen Horowitz, Blockchain Capital, Lux Capital"
BlockFi,3,3/11/21,2021,03,11,Fintech,Jersey City,United States,North America,4,2017,1,ConsenSys Ventures, Valar Ventures, PUC,,"ConsenSys Ventures, Valar Ventures, PUC"
Calendly,3,1/26/21,2021,01,26,Internet software & services,Atlanta,United States,North America,8,2013,0.351,ICONIQ Capital, OpenView Venture Partners,,,"ICONIQ Capital, OpenView Venture Partners"
Carbon Health,3,7/21/21,2021,07,21,Health,San Francisco,United States,North America,6,2015,0.523,Brookfield Asset Management, Blackstone, Data Collective,,"Brookfield Asset Management, Blackstone, Data Collective"
Circle,3,5/15/18,2018,05,15,Fintech,Boston,United States,North America,5,2013,0.711,General Catalyst, Digital Currency Group, Accel,,"General Catalyst, Digital Currency Group, Accel"
CMR Surgical,3,9/17/19,2019,09,17,Health,Cambridge,United Kingdom,Europe,5,2014,0.975,Cambridge Innovation Capital, LGT Capital Partners, Escala Capital,,"Cambridge Innovation Capital, LGT Capital Partners, Escala Capital"
Contentful,3,7/28/21,2021,07,28,Internet software & services,Berlin,Germany,Europe,8,2013,0.333,Balderton Capital, General Catalyst, Tiger Global Management,,"Balderton Capital, General Catalyst, Tiger Global Management"
Cross River Bank,3,2/11/22,2022,02,11,Fintech,Fort Lee,United States,North America,14,2008,0.775,Battery Ventures, Andreessen Horowitz, Ribbit Capital,,"Battery Ventures, Andreessen Horowitz, Ribbit Capital"
Delhivery,3,2/27/19,2019,02,27,"Supply chain, logistics, & delivery",Gurgaon,India,Asia,8,2011,1,Times Internet, Nexus Venture Partners, SoftBank Group,,"Times Internet, Nexus Venture Partners, SoftBank Group"
FlixBus,3,7/18/19,2019,07,18,Auto & transportation,Munich,Germany,Europe,6,2013,1,Holtzbrinck Ventures, Unternehmertum Venture Capital, General Atlantic,,"Holtzbrinck Ventures, Unternehmertum Venture Capital, General Atlantic"
Flutterwave,3,3/9/21,2021,03,09,Fintech,San Francisco,United States,North America,5,2016,0.474,Green Visor Capital, CRE Venture Capital, Greycroft,,"Green Visor Capital, CRE Venture Capital, Greycroft"
Forter,3,11/19/20,2020,11,19,Cybersecurity,New York,United States,North America,7,2013,0.525,Sequoia Capital Israel, Scale Venture Partners, Commerce Ventures,,"Sequoia Capital Israel, Scale Venture Partners, Commerce Ventures"
Grafana Labs,3,3/25/21,2021,03,25,Internet software & services,New York,United States,North America,7,2014,0.535,Lightspeed Venture Partners, Lead Edge Capital, Coatue Management,,"Lightspeed Venture Partners, Lead Edge Capital, Coatue Management"
Groww,3,4/7/21,2021,04,07,Fintech,Bengaluru,India,Asia,4,2017,0.393,Tiger Global Management, Sequoia Capital India, Ribbit Capital,,"Tiger Global Management, Sequoia Capital India, Ribbit Capital"
Inxeption,3,1/13/22,2022,01,13,Fintech,San Francisco,United States,North America,5,2017,0.187,Coatue Management, BMO Capital, Schonfeld Strategic Advisors,,"Coatue Management, BMO Capital, Schonfeld Strategic Advisors"
KK Group,3,10/23/19,2019,10,23,E-commerce & direct-to-consumer,Dongguan,China,Asia,5,2014,0.612,Matrix Partners China, Bright Venture Capita, Shenzhen Capital Group,,"Matrix Partners China, Bright Venture Capita, Shenzhen Capital Group"
Lattice,3,3/23/21,2021,03,23,Internet software & services,San Francisco,United States,North America,6,2015,0.329,Khosla Ventures, Thrive Capital, Y Combinator,,"Khosla Ventures, Thrive Capital, Y Combinator"
LaunchDarkly,3,8/10/21,2021,08,10,Internet software & services,Oakland,United States,North America,7,2014,0.33,Uncork Capital, Threshold Ventures, Bloomberg Beta,,"Uncork Capital, Threshold Ventures, Bloomberg Beta"
Lucid,3,6/29/21,2021,06,29,Internet software & services,South Jordan,United States,North America,11,2010,0.17,Spectrum Equity, ICONIQ Capital, Grayhawk Capital,,"Spectrum Equity, ICONIQ Capital, Grayhawk Capital"
Outschool,3,4/14/21,2021,04,14,Edtech,San Francisco,United States,North America,6,2015,0.24,Uniion Square Ventures, Tiger Global Management, Lightspeed Venture Capital,,"Uniion Square Ventures, Tiger Global Management, Lightspeed Venture Capital"
Podium,3,4/7/20,2020,04,07,Internet software & services,Lehi,United States,North America,6,2014,0.419,Accel, Summit Partners, Google Ventures,,"Accel, Summit Partners, Google Ventures"
Remote,3,7/13/21,2021,07,13,Fintech,San Francisco,United States,North America,5,2016,0.496,Index Ventures, Sequoia Capital, General Catalyst,,"Index Ventures, Sequoia Capital, General Catalyst"
Seismic,3,12/18/18,2018,12,18,Internet software & services,San Diego,United States,North America,8,2010,0.427,Jackson Square Ventures, General Atlantic, Lightspeed Venture Partners,,"Jackson Square Ventures, General Atlantic, Lightspeed Venture Partners"
Sky Mavis,3,10/4/21,2021,10,04,Internet software & services,Ho Chi Minh City,Vietnam,Asia,2,2019,0.311,Fabric Ventures, 500 Global, Standard Crypto,,"Fabric Ventures, 500 Global, Standard Crypto"
SouChe Holdings,3,11/1/17,2017,11,01,E-commerce & direct-to-consumer,Hangzhou,China,Asia,5,2012,1,Morningside Ventures, Warburg Pincus, CreditEase Fintech Investment Fund,,"Morningside Ventures, Warburg Pincus, CreditEase Fintech Investment Fund"
TradingView,3,10/14/21,2021,10,14,Fintech,Westerville,United States,North America,10,2011,0.339,Tiger Global Management, Insight Partners, Jump Capital,,"Tiger Global Management, Insight Partners, Jump Capital"
Traveloka,3,1/1/17,2017,01,01,Travel,Jakarta,Indonesia,Asia,5,2012,1,Global Founders Capital, East Ventures, Expedia Inc.,,"Global Founders Capital, East Ventures, Expedia Inc."
wefox,3,3/5/19,2019,03,05,Fintech,Berlin,Germany,Europe,5,2014,0.919,Salesforce Ventures, Seedcamp, OMERS Ventures,,"Salesforce Ventures, Seedcamp, OMERS Ventures"
Wildlife Studios,3,12/5/19,2019,12,05,Other,Sao Paulo,Brazil,South America,8,2011,0.18,Benchmark, Bessemer Venture Partners,,,"Benchmark, Bessemer Venture Partners"
1047 Games,2,9/14/21,2021,09,14,Internet software & services,Zephyr Cove,United States,North America,4,2017,0.127,VGames, Lakestar, Galaxy Interactive,,"VGames, Lakestar, Galaxy Interactive"
Baiwang,2,3/25/19,2019,03,25,Fintech,Beijing,China,Asia,4,2015,0.224,Guozhong Venture Capital Management, Shenzhen Capital Group, Oriental Fortune Capital,,"Guozhong Venture Capital Management, Shenzhen Capital Group, Oriental Fortune Capital"
Boba,2,4/5/22,2022,04,05,Fintech,San Francisco,United States,North America,4,2018,0.045,DeFi Technologies, Hypersphere Ventures, M13,,"DeFi Technologies, Hypersphere Ventures, M13"
Bought By Many,2,6/1/21,2021,06,01,Fintech,London,United Kingdom,Europe,9,2012,0.477,Octopus Ventures, Munich Re Ventures, CommerzVentures,,"Octopus Ventures, Munich Re Ventures, CommerzVentures"
Cambridge Mobile Telematics,2,12/19/18,2018,12,19,Mobile & telecommunications,Cambridge,United States,North America,8,2010,0.503,SoftBank Group,,,,SoftBank Group
Carzone,2,3/1/19,2019,03,01,E-commerce & direct-to-consumer,Jiangsu,China,Asia,24,1995,0.946,Alibaba Group,Co-Stone Venture Capital, Buhuo Venture Capital,,"Alibaba Group,Co-Stone Venture Capital, Buhuo Venture Capital"
CFGI,2,9/15/21,2021,09,15,Fintech,Boston,United States,North America,21,2000,0.019,The Carlyle Group, CVC Capital Partners,,,"The Carlyle Group, CVC Capital Partners"
Cgtz,2,2/21/17,2017,02,21,Fintech,Hangzhou,China,Asia,3,2014,0.536,Shunwei Capital Partners, China Media Group, Guangzhou Huiyin Aofeng Equity Investment Fund,,"Shunwei Capital Partners, China Media Group, Guangzhou Huiyin Aofeng Equity Investment Fund"
Changingedu,2,10/30/17,2017,10,30,Edtech,Shanghai,China,Asia,3,2014,0.188,Trustbridge Partners, IDG Capital, Sequoia Capital China,,"Trustbridge Partners, IDG Capital, Sequoia Capital China"
eDaili,2,2/1/19,2019,02,01,E-commerce & direct-to-consumer,Shanghai,China,Asia,4,2015,0.101,K2VC, Lightspeed China Partners, Sky9 Capital,,"K2VC, Lightspeed China Partners, Sky9 Capital"
ENOVATE,2,4/15/19,2019,04,15,Auto & transportation,Shanghai,China,Asia,4,2015,1,Automobile Industry Guidance Fund,,,,Automobile Industry Guidance Fund
Fenbi Education,2,2/7/21,2021,02,07,Edtech,Beijing,China,Asia,6,2015,0.39,Trustbridge Partners, Hony Capital, IDG Capital,,"Trustbridge Partners, Hony Capital, IDG Capital"
Hesai Tech,2,8/1/20,2020,08,01,Artificial intelligence,Shanghai,China,Asia,7,2013,0.717,Lightspeed China Partners, Baidu Ventures, Qiming Venture Partners,,"Lightspeed China Partners, Baidu Ventures, Qiming Venture Partners"
Il Makiage,2,1/10/22,2022,01,10,E-commerce & direct-to-consumer,New York,United States,North America,4,2018,0.029,L Catterton, Franklin Templeton, First Light Capital Group,,"L Catterton, Franklin Templeton, First Light Capital Group"
Iluvatar CoreX,2,3/1/21,2021,03,01,Hardware,Shanghai,China,Asia,6,2015,0.186,Centurium Capital, Cedarlake Capital, Unicom Innovation Venture Capital,,"Centurium Capital, Cedarlake Capital, Unicom Innovation Venture Capital"
Jusfoun Big Data,2,7/9/18,2018,07,09,Data management & analytics,Beijing,China,Asia,8,2010,0.137,Boxin Capital, DT Capital Partners, IDG Capital,,"Boxin Capital, DT Capital Partners, IDG Capital"
Pagaya,2,6/17/20,2020,06,17,Fintech,Tel Aviv,Israel,Asia,5,2015,0.417,Oak HC/FT Partners, GF Investments, Harvey Golub Family Office,,"Oak HC/FT Partners, GF Investments, Harvey Golub Family Office"
PolicyBazaar,2,5/6/19,2019,05,06,Fintech,Gurgaon,India,Asia,11,2008,0.634,Info Edge, Softbank Capital,,,"Info Edge, Softbank Capital"
Promasidor Holdings,2,11/8/16,2016,11,08,Consumer & retail,Bryanston,South Africa,Asia,37,1979,0.556,IFC, Ajinomoto,,,"IFC, Ajinomoto"
Tubatu.com,2,3/9/15,2015,03,09,E-commerce & direct-to-consumer,Shenzhen,China,Asia,7,2008,0.216,Sequoia Capital China, Matrix Partners China, 58.com,,"Sequoia Capital China, Matrix Partners China, 58.com"
Ximalaya FM,2,9/22/17,2017,09,22,Mobile & telecommunications,Shanghai,China,Asia,5,2012,0.071,China Creation Ventures, Sierra Ventures, Xingwang Investment Management,,"China Creation Ventures, Sierra Ventures, Xingwang Investment Management"
HEYTEA,2,7/1/19,2019,07,01,Other,Shenzhen,China,Asia,7,2012,0.594,Sequoia Capital China, Tencent Investment, BA Capital,,"Sequoia Capital China, Tencent Investment, BA Capital"
BGL Group,2,11/24/17,2017,11,24,Fintech,Peterborough,United Kingdom,Europe,25,1992,0.696,CPP Investment Board,,,,CPP Investment Board
Claroty,2,6/17/21,2021,06,17,Cybersecurity,New York,United States,North America,6,2015,0.64,Bessemer Venture Partners, MoreVC, Team8,,"Bessemer Venture Partners, MoreVC, Team8"
Improbable,2,5/11/17,2017,05,11,Other,London,United Kingdom,Europe,5,2012,0.754,Andreessen Horowitz, SoftBank Group, Temasek Holdings,,"Andreessen Horowitz, SoftBank Group, Temasek Holdings"
InMobi,2,12/2/14,2014,12,02,Mobile & telecommunications,Bengaluru,India,Asia,7,2007,0.221,Kleiner Perkins Caufield & Byers, Softbank Corp., Sherpalo Ventures,,"Kleiner Perkins Caufield & Byers, Softbank Corp., Sherpalo Ventures"
MindMaze,2,1/28/16,2016,01,28,Health,Lausanne,Switzerland,Europe,4,2012,0.34,Hinduja Group,,,,Hinduja Group
Ninja Van,2,9/27/21,2021,09,27,"Supply chain, logistics, & delivery",,Singapore,Asia,7,2014,0.975,B Capital Group, Monk's Hill Ventures, Dynamic Parcel Distribution,,"B Capital Group, Monk's Hill Ventures, Dynamic Parcel Distribution"
Pantheon Systems,2,7/13/21,2021,07,13,Internet software & services,San Francisco,United States,North America,11,2010,0.2,Foundry Group, Scale Venture Partners, SoftBank Group,,"Foundry Group, Scale Venture Partners, SoftBank Group"
SellerX,2,12/9/21,2021,12,09,E-commerce & direct-to-consumer,Berlin,Germany,Europe,1,2020,0.766,Cherry Ventures, Felix Capital, 83North,,"Cherry Ventures, Felix Capital, 83North"
AppDirect,2,10/7/15,2015,10,07,E-commerce & direct-to-consumer,San Francisco,United States,North America,6,2009,0.431,Mithril, iNovia Capital, Foundry Group,,"Mithril, iNovia Capital, Foundry Group"
BrewDog,2,4/10/17,2017,04,10,Consumer & retail,Aberdeen,United Kingdom,Europe,10,2007,0.233,TSG Consumer Partners, Crowdcube,,,"TSG Consumer Partners, Crowdcube"
Enflame,2,1/5/21,2021,01,05,Hardware,Shanghai,China,Asia,3,2018,0.472,Tencent Holdings, Delta Capital, Redpoint Ventures China,,"Tencent Holdings, Delta Capital, Redpoint Ventures China"
Tradeshift,2,5/30/18,2018,05,30,Fintech,San Francisco,United States,North America,9,2009,0.861,Notion Capital, Scentan Ventures, Kite Ventures,,"Notion Capital, Scentan Ventures, Kite Ventures"
HeartFlow,2,12/4/17,2017,12,04,Health,Redwood City,United States,North America,10,2007,0.568,BlueCross BlueShield Venture Partners, US Venture Partners,,,"BlueCross BlueShield Venture Partners, US Venture Partners"
Extend,2,5/18/21,2021,05,18,Fintech,San Francisco,United States,North America,17,2004,0.32,GreatPoint Ventures, Meritech Capital Partners, PayPal Ventures,,"GreatPoint Ventures, Meritech Capital Partners, PayPal Ventures"
Airbyte,2,12/17/21,2021,12,17,Internet software & services,San Francisco,United States,North America,1,2020,0.181,Accel, Benchmark, SV Angel,,"Accel, Benchmark, SV Angel"
Andela,2,9/29/21,2021,09,29,Internet software & services,New York,United States,North America,7,2014,0.381,Spark Capital, Google Ventures, CRE Venture Capital,,"Spark Capital, Google Ventures, CRE Venture Capital"
Ascend Money,2,9/27/21,2021,09,27,Fintech,Bangkok,Thailand,Asia,8,2013,0.15,Ant Group, Charoen Pokphand Group, Bow Wave Capital,,"Ant Group, Charoen Pokphand Group, Bow Wave Capital"
Athelas,2,1/31/22,2022,01,31,Health,Mountain View,United States,North America,6,2016,0.15,Sequoia Capital, General Catalyst, Human Capital,,"Sequoia Capital, General Catalyst, Human Capital"
Built,2,9/30/21,2021,09,30,Internet software & services,Nashville,United States,North America,6,2015,0.289,Nyca Partners, Index Ventures, Technology Crossover Ventures,,"Nyca Partners, Index Ventures, Technology Crossover Ventures"
candy.com,2,10/21/21,2021,10,21,Fintech,New York,United States,North America,0,2021,0.1,Insight Partners, Softbank Group, Connect Ventures,,"Insight Partners, Softbank Group, Connect Ventures"
Cognite,2,5/19/21,2021,05,19,Data management & analytics,Lysaker,Norway,Europe,5,2016,0.225,Technology Crossover Ventures, Accel, Aker,,"Technology Crossover Ventures, Accel, Aker"
CoinList,2,10/15/21,2021,10,15,Fintech,San Francisco,United States,North America,4,2017,0.119,Accomplice, Polychain Capital, GoldenTree Asset Management,,"Accomplice, Polychain Capital, GoldenTree Asset Management"
Collective Health,2,6/17/19,2019,06,17,Fintech,San Francisco,United States,North America,6,2013,0.719,New Enterprise Associates, Founders Fund, Google Ventures,,"New Enterprise Associates, Founders Fund, Google Ventures"
Culture Amp,2,7/29/21,2021,07,29,Internet software & services,Richmond,Australia,Oceania,10,2011,0.257,Felicis Ventures, Index Ventures, Blackbird Ventures,,"Felicis Ventures, Index Ventures, Blackbird Ventures"
